IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0709 60 99;Owoce z rodzaju Capsicum lub z rodzaju Pimenta, świeże lub schłodzone (z wył. do produkcji pieprzu tureckiego lub barwników oleożywicznych Capsicum, do przemysłowej produkcji olejków eterycznych lub żywicznych i słodkiej papryki);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 70 00;Szpinak, szpinak nowozelandzki i szpinak ogrodowy, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 91 00;Karczochy, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 92 10;Oliwki do celów innych niż produkcja oliwy, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 92 90;Oliwki do produkcji oliwy, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 93 10;Cukinia, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 93 90;Dynie, kabaczki i tykwy (Cucurbita spp.), świeże lub schłodzone (z wył. cukini);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 10;Warzywa sałatowe inne niż sałata (Lactuca sativa) i cykoria (Cichorium spp.), świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 20;Burak boćwina (lub boćwina szerokoogonkowa) i karczoch hiszpański, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 40;kapary, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 50;Koper, świeży lub schłodzony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 60;Kukurydza cukrowa, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 99 90;Warzywa, świeże lub schłodzone, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 10 10;Groch "Pisum sativum", suszony i łuskany, do siewu;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 10 90;Groch "Pisum sativum", suszony i łuskany, nawet bez skórki lub dzielony (z wył. do siewu);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 20 00;Ciecierzyca (cieciorka), suszona, łuskana, nawet bez skórki lub dzielona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 31 00;Fasola z gatunku Vigna mungo (L.) Hepper lub Vigna radiata (L.) Wilczek, suszona, łuskana, nawet bez skórki lub dzielona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 32 00;Fasolka czerwona mała "Adzuki" [Phaseolus lub Vigna angularis], suszona, łuskana, nawet bez skórki lub dzielona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 33 10;Fasola, włącznie z białą groszkową "Phaseolus vulgaris", suszona, łuskana, do siewu;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 33 90;Fasola, włącznie z białą groszkową "Phaseolus vulgaris", suszona, łuskana, nawet bez skórki lub dzielona (z wył. do siewu);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0713 34 00;Sorzycha ziemna (Vigna subterranea lub Voandzeia subterranea), suszona, łuskana, nawet bez skórki lub dzielona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
