IdUprawa_TypUprawa;IdUprawa;IdTypUprawa;NazwaUprawa_TypUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.13.71.0_505;01.13.71.0;505;Buraki cukrowe jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.72.0_505;01.13.72.0;505;Nasiona buraków cukrowych jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.80.0_501;01.13.80.0;501;GRZYBY I TRUFLE w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.90.0_501;01.13.90.0;501;WARZYWA ŚWIEŻE, GDZIE INDZIEJ NIESKLASYFIKOWANE w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.14.10.0_503;01.14.10.0;503;TRZCINA CUKROWA jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.15.10.0_502;01.15.10.0;502;TYTOŃ NIEPRZETWORZONY jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.16.11.0_503;01.16.11.0;503;Bawełna niezgrzeblona i nieczesana jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.16.12.0_501;01.16.12.0;501;Juta, kenaf i pozostałe włókna tekstylne łykowe, surowe lub roszone, z wyłączeniem lnu, konopi i ramii w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.16.19.0_503;01.16.19.0;503;Len, konopie oraz pozostałe surowe rośliny włókniste, gdzie indziej niesklasyfikowane jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.10.0_504;01.19.10.0;504;ROŚLINY PASTEWNE jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.21.0_505;01.19.21.0;505;Kwiaty cięte i pąki kwiatowe jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
