IdProdukt;NazwaProdukt;OpisProdukt;UwagaProdukt;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.95;Nasiona słonecznika;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.95.0;Nasiona słonecznika;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.96;Nasiona rącznika;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.96.0;Nasiona rącznika;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.99;Pozostałe nasiona oleiste, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.99.0;Pozostałe nasiona oleiste, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.12;RYŻ NIEŁUSKANY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.12.1;RYŻ NIEŁUSKANY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.12.10;RYŻ NIEŁUSKANY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.12.10.0;RYŻ NIEŁUSKANY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13;WARZYWA ŚWIEŻE LUB SCHŁODZONE, WŁĄCZAJĄC MELONY ORAZ ROŚLINY KORZENIOWE I BULWIASTE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.1;WARZYWA LIŚCIOWE I ŁODYGOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.11;Szparagi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.11.0;Szparagi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.12;Kapusta;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.12.0;Kapusta;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.13;Kalafiory i brokuły;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.13.0;Kalafiory i brokuły;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.14;Sałata;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.14.0;Sałata;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.15;Cykoria;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.15.0;Cykoria;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.16;Szpinak;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.16.0;Szpinak;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.17;Karczochy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.17.0;Karczochy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.19;Pozostałe warzywa liściowe i łodygowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.19.0;Pozostałe warzywa liściowe i łodygowe;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.2;ARBUZY I MELONY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.21;Arbuzy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.21.0;Arbuzy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.29;Melony;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.29.0;Melony;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.3;POZOSTAŁE WARZYWA OWOCOWE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.31;Papryka i inne warzywa owocowe (wyłącznie z rodzaju Capsicum);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.31.0;Papryka i inne warzywa owocowe (wyłącznie z rodzaju Capsicum);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.32;Ogórki i korniszony;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.32.0;Ogórki i korniszony;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.33;Bakłażany (oberżyny);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.33.0;Bakłażany (oberżyny);;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.34;Pomidory;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.34.0;Pomidory;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.39;Pozostałe warzywa owocowe, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.39.0;Pozostałe, świeże lub schłodzone warzywa owocowe, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.4;WARZYWA KORZENIOWE, CEBULOWE I BULWIASTE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.41;Marchew i rzepa;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.41.0;Marchew i rzepa;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.42;Czosnek;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.42.0;Czosnek;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.43;Cebula;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.43.0;Cebula;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.44;Pory i pozostałe warzywa z rodziny czosnkowatych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.44.0;Pory i pozostałe warzywa z rodziny czosnkowatych;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.49;Pozostałe warzywa korzeniowe, cebulowe i bulwiaste, z wyłączeniem warzyw o dużej zawartości skrobi i inuliny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.49.0;Pozostałe, świeże lub schłodzone warzywa korzeniowe, cebulowe i bulwiaste, z wyłączeniem warzyw o dużej zawartości skrobi i inuliny;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.13.5;ZIEMNIAKI I JADALNE KORZENIE I BULWY O DUŻEJ ZAWARTOŚCI SKROBI I INULINY;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
