IdProdukt_RodzajProdukt;IdCN;NazwaProdukt_RodzajProdukt_CN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.28.14.0_111;0909 21 00;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.14.0_111;0909 31 00;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.14.0_111;0909 61 00;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.15.0_;0906 11 00;Cynamon surowy i kwiaty cynamonowca ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.15.0_;0906 19 00;Cynamon surowy i kwiaty cynamonowca ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.16.0_;0907 10 00;Goździki (całe owoce, kwiaty i szypułki) surowe ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.17.0_;0910 11 00;Imbir surowy, suszony ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.18.0_;0905 10 00;Wanilia surowa ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0904 21 90*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 20 10;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 30 00*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 91 05*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 91 10;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 99 10*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 99 31*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 99 33*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 99 50*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;0910 99 91*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;1212 94 00*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.19.0_;1212 99 95*;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.20.0_;1210 10 00;Szyszki chmielowe ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.20.0_;1210 20 10;Szyszki chmielowe ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.20.0_;1210 20 90;Szyszki chmielowe ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 20 00;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 30 00;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 40 00;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 50 00*;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 60 00;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 90 30;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.28.30.0_;1211 90 86*;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.10.0_;4001 10 00;Kauczuk naturalny ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.10.0_;4001 21 00;Kauczuk naturalny ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.10.0_;4001 22 00;Kauczuk naturalny ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.10.0_;4001 29 00;Kauczuk naturalny ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.20.0_;0604 20 20;Choinki świąteczne cięte ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.30.0_;1401 10 00;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.30.0_;1401 20 00;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.30.0_;1401 90 00;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.29.30.0_;1404 90 00*;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 10 10;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 10 20;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 10 30;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 10 40;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 10 90;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 20 10;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 20 30;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0601 20 90;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 10 10;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 10 90*;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 20 10;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 20 20;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 20 30;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 20 80;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 30 00;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 40 00;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 10;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 20;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 30;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 45*;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 46;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 47;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 48;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 50;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 70;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 91;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.30.10.0_111;0602 90 99;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia na nasiona/sadzonki";D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
